Title,Authors,Source_Title,Publication_Year,DOI,Notes,country,region,level_of_data_collection,collection_method,confience,location_of_data_extraction,time_for_time_series,SPECIES,growth_type,taxa,Environment,MIN,MAX,AVERAGE,UNITS,SYSTEM notes,system,mean_tonnes_ha_year,fishprint_taxa,cal_100_g,p_100_g
The Feasibility of industrial production of Spirulina (Arthrospira) in Southern Spain,"Jimenez, C; Cossio, BR; Labella, D; Niell, FX",AQUACULTURE,2003,10.1016/S0044-8486(02)00118-7,"Extracted monthly because in terms of production cycle, thats comparable to extracting annual",spain,europe,experiment,experiment,high,Fig 6,November,Spirulina,monoculture,algae,fw,2,15,6.8,g/m2/day,PONDS,ponds,24.82,,,
"THE DEVELOPMENT OF THE SALMON AQUACULTURE INDUSTRY IN SOUTHWESTERN NEW BRUNSWICK, BAY OF FUNDY, INCLUDING STEPS TOWARD INTEGRATED COASTAL ZONE MANAGEMENT","Chang, B. D.; Coombs, K. A.; Page, F. H.",AQUACULTURE ECONOMICS & MANAGEMENT,2014,10.1080/13657305.2014.855952,combined fig. 2 and table 1,canada,north america,region,government data,mid,"Figure 2, table 1",2000,salmon,monoculture,fish,sw,,,24.302364,m.t/ha/year,net pens,"cages, pens, or nets",24.3,salmon,208,20.4
"Effect of the Integration between Plankton Natural Productivity and Environmental Assessment of Irrigation Water, El-Mahmoudia Canal, on Aquaculture Potential of Oreochromis niloticus","Ashour, Mohamed; Abo-Taleb, Hamdy; Abou-Mahmoud, Mohamed; El-Feky, M. M. M.",TURKISH JOURNAL OF FISHERIES AND AQUATIC SCIENCES,2018,10.4194/1303-2712-v18_10_03,O. niloticus was about 21.3 ton/1.6 ha after 6 months,egypt,africa,experiment,experiment,high,last sentence of the results,,tilapia,monoculture,fish,fw,,,26.625,ton/ha/year,earthen pond,ponds,24.15,tilapia,96,20.1
"THE DEVELOPMENT OF THE SALMON AQUACULTURE INDUSTRY IN SOUTHWESTERN NEW BRUNSWICK, BAY OF FUNDY, INCLUDING STEPS TOWARD INTEGRATED COASTAL ZONE MANAGEMENT","Chang, B. D.; Coombs, K. A.; Page, F. H.",AQUACULTURE ECONOMICS & MANAGEMENT,2014,10.1080/13657305.2014.855952,combined fig. 2 and table 1,canada,north america,region,government data,mid,"Figure 2, table 1",2010,salmon,monoculture,fish,sw,,,22.588297,m.t/ha/year,net pens,"cages, pens, or nets",22.59,salmon,208,20.4
The potential of seaweed cultivation to achieve carbon neutrality and mitigate deoxygenation and eutrophication,"Gao, G; Gao, L; Jiang, MJ; Jian, A; He, LW",ENVIRONMENTAL RESEARCH LETTERS,2022,10.1088/1748-9326/ac3fd9,Digitize 5. LOTS of data,china,asia (china),country,country data,medium,Figure 5,2001,Pyropia,monoculture,algae,sw,,,2.116402116,mt dw/ha/y,,,21.16402116,,,
The potential of seaweed cultivation to achieve carbon neutrality and mitigate deoxygenation and eutrophication,"Gao, G; Gao, L; Jiang, MJ; Jian, A; He, LW",ENVIRONMENTAL RESEARCH LETTERS,2022,10.1088/1748-9326/ac3fd9,Digitize 5. LOTS of data,china,asia (china),country,country data,medium,Figure 5,2004,Pyropia,monoculture,algae,sw,,,2.116402116,mt dw/ha/y,,,21.16402116,,,
The potential of seaweed cultivation to achieve carbon neutrality and mitigate deoxygenation and eutrophication,"Gao, G; Gao, L; Jiang, MJ; Jian, A; He, LW",ENVIRONMENTAL RESEARCH LETTERS,2022,10.1088/1748-9326/ac3fd9,Digitize 5. LOTS of data,china,asia (china),country,country data,medium,Figure 5,2006,Pyropia,monoculture,algae,sw,,,2.116402116,mt dw/ha/y,,,21.16402116,,,
The potential of seaweed cultivation to achieve carbon neutrality and mitigate deoxygenation and eutrophication,"Gao, G; Gao, L; Jiang, MJ; Jian, A; He, LW",ENVIRONMENTAL RESEARCH LETTERS,2022,10.1088/1748-9326/ac3fd9,Digitize 5. LOTS of data,china,asia (china),country,country data,medium,Figure 5,2009,Pyropia,monoculture,algae,sw,,,2.116402116,mt dw/ha/y,,,21.16402116,,,
The potential of seaweed cultivation to achieve carbon neutrality and mitigate deoxygenation and eutrophication,"Gao, G; Gao, L; Jiang, MJ; Jian, A; He, LW",ENVIRONMENTAL RESEARCH LETTERS,2022,10.1088/1748-9326/ac3fd9,Digitize 5. LOTS of data,china,asia (china),country,country data,medium,Figure 5,2011,Pyropia,monoculture,algae,sw,,,2.116402116,mt dw/ha/y,,,21.16402116,,,
"THE DEVELOPMENT OF THE SALMON AQUACULTURE INDUSTRY IN SOUTHWESTERN NEW BRUNSWICK, BAY OF FUNDY, INCLUDING STEPS TOWARD INTEGRATED COASTAL ZONE MANAGEMENT","Chang, B. D.; Coombs, K. A.; Page, F. H.",AQUACULTURE ECONOMICS & MANAGEMENT,2014,10.1080/13657305.2014.855952,combined fig. 2 and table 1,canada,north america,region,government data,mid,"Figure 2, table 1",1995,salmon,monoculture,fish,sw,,,18.901839,m.t/ha/year,net pens,"cages, pens, or nets",18.9,salmon,208,20.4
Boom and bust in Andhra Pradesh: Development and transformation in India's domestic aquaculture value chain,"Belton, Ben; Padiyar, Arun; Ravibabu, G.; Rao, Gopal K.",AQUACULTURE,2017,10.1016/j.aquaculture.2016.12.019,I took the yearly estimates,india,asia (not china),region,survey,mid,table 3,2012,catfish,monoculture,fish,fw,,,20,t/ha/year,pond,ponds,18.14,catfish,119,15.2
Boom and bust in Andhra Pradesh: Development and transformation in India's domestic aquaculture value chain,"Belton, Ben; Padiyar, Arun; Ravibabu, G.; Rao, Gopal K.",AQUACULTURE,2017,10.1016/j.aquaculture.2016.12.019,I took the yearly estimates,india,asia (not china),region,survey,mid,table 3,2011,catfish,monoculture,fish,fw,,,18,t/ha/year,pond,ponds,16.33,catfish,119,15.2
The potential of seaweed cultivation to achieve carbon neutrality and mitigate deoxygenation and eutrophication,"Gao, G; Gao, L; Jiang, MJ; Jian, A; He, LW",ENVIRONMENTAL RESEARCH LETTERS,2022,10.1088/1748-9326/ac3fd9,Digitize 5. LOTS of data,china,asia (china),country,country data,medium,Figure 5,2013,Pyropia,monoculture,algae,sw,,,1.587301587,mt dw/ha/y,,,15.87301587,,,
The potential of seaweed cultivation to achieve carbon neutrality and mitigate deoxygenation and eutrophication,"Gao, G; Gao, L; Jiang, MJ; Jian, A; He, LW",ENVIRONMENTAL RESEARCH LETTERS,2022,10.1088/1748-9326/ac3fd9,Digitize 5. LOTS of data,china,asia (china),country,country data,medium,Figure 5,2010,Pyropia,monoculture,algae,sw,,,1.587301587,mt dw/ha/y,,,15.87301587,,,
"Effects of different manure levels on fish growth, mortality and yield in a horizontally-integrated fish-cum-poultry farming system in Nigeria","Njoku, DC",AQUACULTURE RESEARCH,1997,,"Results indicate that poultry droppings, applied at the rate of 5000 kg ha−1 per year gave the best yield (23.5 M.t ha−1 for Heterobranchus bidorsalis Geofrey St Hillaire, 1809; and 11.2 tons ha−1 for Oreochromis niloticus Linnaeus, 1758)",nigera,africa,farm,farm,high,Table 6,1995-1996,Heterobranchus bidorsalis,monoculture,fish,fw,14.1,23.5,15.6,tonne/ha/year,,ponds,15.6,catfish,119,15.2
"Future of rice-fish culture, desert aquaculture and feed development in Africa: The case of Egypt as the leading country in Africa","Suloma, Ashraf; Ogata, Hiroshi Y.",JARQ-JAPAN AGRICULTURAL RESEARCH QUARTERLY,2006,10.6090/jarq.40.351,"reporting from...?  Egypt fresh/brackish production @ 11.9-19.0 mt/ha/year. Specifically 7,000 in 58,000 ha per year for a carp-rice co-culture",egypt,africa,country,,low,page 354,,carps and tilapia,,fish,fw,11.9,19,15.45,mt/ha/year,ponds? Unclear. Semi intensive,ponds,15.45,,,
Boom and bust in Andhra Pradesh: Development and transformation in India's domestic aquaculture value chain,"Belton, Ben; Padiyar, Arun; Ravibabu, G.; Rao, Gopal K.",AQUACULTURE,2017,10.1016/j.aquaculture.2016.12.019,I took the yearly estimates,india,asia (not china),region,survey,mid,table 3,2010,catfish,monoculture,fish,fw,,,17,t/ha/year,pond,ponds,15.42,catfish,119,15.2
Economics of Sustainable Intensification of Aquaculture: Evidence from Shrimp Farms in Vietnam and Thailand,"Engle, Carole R.; McNevin, Aaron; Racine, Phoebe; Boyd, Claude E.; Paungkaew, Duangchai; Viriyatum, Rawee; Huynh Quoc Tinh; Hang Ngo Minh",JOURNAL OF THE WORLD AQUACULTURE SOCIETY,2017,10.1111/jwas.12423,survey then cluster analysis then average. corrected for # crops per year,thailand,asia (not china),farm,survey,mid,Table 3,,Litopenaeus vannamei,monoculture,crustacean,sw,,,6982,kg/ha/year,ponds,ponds,13.96,shrimp,85,20.1
Economics of Sustainable Intensification of Aquaculture: Evidence from Shrimp Farms in Vietnam and Thailand,"Engle, Carole R.; McNevin, Aaron; Racine, Phoebe; Boyd, Claude E.; Paungkaew, Duangchai; Viriyatum, Rawee; Huynh Quoc Tinh; Hang Ngo Minh",JOURNAL OF THE WORLD AQUACULTURE SOCIETY,2017,10.1111/jwas.12423,survey then cluster analysis then average. corrected for # crops per year,vietnam,asia (not china),farm,survey,mid,Table 3,,Litopenaeus vannamei,monoculture,crustacean,sw,,,6938,kg/ha/year,ponds,ponds,13.88,shrimp,85,20.1
"Growth performance of shrimp and water quality in a freshwater biofloc system with a salinity of 5.0%o: Effects on inputs, costs and wastes discharge during grow-out culture of Litopenaeus vannamei","Huang, HH; Li, CY; Song, Y; Lei, YJ; Yang, PH",AQUACULTURAL ENGINEERING,2022,10.1016/j.aquaeng.2022.102265,"Indoor tanks(width×length×depth=2×2.5×1.3m,6.5m in
volume) in BEAD Co., Ltd. were used to culture experiment.Productivity is 1.1 and 0.96kg/m3. 63 days",china,asia (china),farm,experiment,high,methods and table 2,2022,Litopenaeus vannamei,monoculture,crustacean,sw,0.96,1.1,1.03,kg/m3/63 days (each tank is 6.5m3 in volume and 5 m2. So multiply by 6.5 then divide by 5 to get m2. ,,RAS or tanks,13.39,shrimp,85,20.1
Coastal aquaculture and shrimp farming in North Vietnam and environmental cost estimation,"Lan, Tran Dinh",AQUATIC ECOSYSTEM HEALTH & MANAGEMENT,2009,10.1080/14634980903146791,Figures 2 and 3 have no units and are thus not useful. Data comes from Table 2.,vietnam,asia (not china),region,"government report (: Hai Phong Fisheries Department, 2001; MOFI, 2003.)",mid,table 2,1995,shrimp,monoculture,crustacean,sw,,,14.263587,tons/ha/year,ponds,ponds,12.94,shrimp,85,20.1
Coastal aquaculture and shrimp farming in North Vietnam and environmental cost estimation,"Lan, Tran Dinh",AQUATIC ECOSYSTEM HEALTH & MANAGEMENT,2009,10.1080/14634980903146791,Figures 2 and 3 have no units and are thus not useful. Data comes from Table 2.,vietnam,asia (not china),region,"government report (: Hai Phong Fisheries Department, 2001; MOFI, 2003.)",mid,table 2,1996,shrimp,monoculture,crustacean,sw,,,13.0680272,tons/ha/year,ponds,ponds,11.86,shrimp,85,20.1
"Resource Use Assessment of Shrimp, Litopenaeus vannamei and Penaeus monodon, Production in Thailand and Vietnam","Boyd, Claude E.; McNevin, Aaron A.; Racine, Phoebe; Huynh Quoc Tinh; Hang Ngo Minh; Viriyatum, Rawee; Paungkaew, Duangchai; Engle, Carole",JOURNAL OF THE WORLD AQUACULTURE SOCIETY,2017,10.1111/jwas.12394,"L. vannamei averaged 17.3 and 10.9 m.t./ha/yr; P. monodon was produced at 0.2–0.4 m.t./ha/yr, with no inputs but water and postlarvae. In Vietnam, P. monodon production averaged 3.60 m.t./ha/yr.",thailand,asia (not china),farm,survey,mid,text,,Litopenaeus vannamei,monoculture,crustacean,sw,,,10.9,m.t/ha/year,ponds?,ponds,10.9,shrimp,85,20.1
Resource use in whiteleg shrimp Litopenaeus vannamei farming in Ecuador,"Boyd, Claude E.; Davis, Robert P.; Gonzalez Wilson, Arturo; Marcillo, Fabrizio; Brian, Susanna; McNevin, Aaron A.",JOURNAL OF THE WORLD AQUACULTURE SOCIETY,2021,10.1111/jwas.12818,,ecuador,south america,farm,survey,mid,table 5,,Shrimp,monoculture,crustacean,sw,,,11.95,t/ha/year,ponds,ponds,10.84,shrimp,85,20.1
"Comparison of intensive shrimp farming systems in Indonesia, Philippines, Taiwan and Thailand","Kongkeo, H",AQUACULTURE RESEARCH,1997,,table 10,thailand,asia (not china),country,country data,medium,Table 10,1997,,monoculture,crustacean,sw,,,10.49,tonnes/ha/year,,ponds,10.49,,,
Coastal aquaculture and shrimp farming in North Vietnam and environmental cost estimation,"Lan, Tran Dinh",AQUATIC ECOSYSTEM HEALTH & MANAGEMENT,2009,10.1080/14634980903146791,Figures 2 and 3 have no units and are thus not useful. Data comes from Table 2.,vietnam,asia (not china),region,"government report (: Hai Phong Fisheries Department, 2001; MOFI, 2003.)",mid,table 2,1997,shrimp,monoculture,crustacean,sw,,,11.393053,tons/ha/year,ponds,ponds,10.34,shrimp,85,20.1
"A Review on Shrimp Aquaculture in India: Historical Perspective, Constraints, Status and Future Implications for Impacts on Aquatic Ecosystem and Biodiversity","Salunke, Mahesh; Kalyankar, Amol; Khedkar, Chandraprakash D.; Shingare, Mahesh; Khedkar, Gulab D.",REVIEWS IN FISHERIES SCIENCE & AQUACULTURE,2020,10.1080/23308249.2020.1723058,"There's the ability to digitize and extract data in this paper (Figure 5). During this time the total area occupied by farms engaging in shrimp aquaculture increased dramatically, but over 85% of farms were of small size (< 2 Ha). On these farms the average shrimp production was ∼ 0.73 tons per hectare, representing yields that were low compared to other shrimp producing countries.",india,asia (not china),country,government?,low,Figure 5,"2,012",l. vannamaei,all- ponds,crustacean,sw,,,10.2551,m.t./ ha/ year,all systems,ponds,10.26,shrimp,85,20.1
The Feasibility of industrial production of Spirulina (Arthrospira) in Southern Spain,"Jimenez, C; Cossio, BR; Labella, D; Niell, FX",AQUACULTURE,2003,10.1016/S0044-8486(02)00118-7,"Extracted monthly because in terms of production cycle, thats comparable to extracting annual",spain,europe,experiment,experiment,high,Fig 6,December,Spirulina,monoculture,algae,fw,2,15,2.6,g/m2/day,PONDS,ponds,9.49,,,
Effects of intensive fish farming on sediments of a temperate bay characterised by polyculture and strong currents,"Ji, Weiwei; Yokoyama, Hisashi; Fu, Jing; Zhou, Jin",AQUACULTURE REPORTS,2021,10.1016/j.aqrep.2020.100579,,china,asia (not china),region,government data,mid,Table 1,,Haliotis discus hannai,monoculture,mollusc,sw,,,1038.96104,t/km2/year,Raft,on or off bottom,9.43,bivalves,105,17.1
Coastal aquaculture and shrimp farming in North Vietnam and environmental cost estimation,"Lan, Tran Dinh",AQUATIC ECOSYSTEM HEALTH & MANAGEMENT,2009,10.1080/14634980903146791,Figures 2 and 3 have no units and are thus not useful. Data comes from Table 2.,vietnam,asia (not china),region,"government report (: Hai Phong Fisheries Department, 2001; MOFI, 2003.)",mid,table 2,1998,shrimp,monoculture,crustacean,sw,,,10.2618683,tons/ha/year,ponds,ponds,9.31,shrimp,85,20.1
Boom and bust in Andhra Pradesh: Development and transformation in India's domestic aquaculture value chain,"Belton, Ben; Padiyar, Arun; Ravibabu, G.; Rao, Gopal K.",AQUACULTURE,2017,10.1016/j.aquaculture.2016.12.019,I took the yearly estimates,india,asia (not china),region,survey,mid,table 3,2009,catfish,monoculture,fish,fw,,,10,t/ha/year,pond,ponds,9.07,catfish,119,15.2
Shrimp Farmers in India: Empowering Small-Scale Farmers through a Cluster-Based Approach,"Umesh, N. R.; Mohan, A. B. Chandra; Ravibabu, G.; Padiyar, P. A.; Phillips, M. J.; Mohan, C. V.; Bhat, B. Vishnu",SUCCESS STORIES IN ASIAN AQUACULTURE,2010,10.1007/978-90-481-3087-0_3,"Farmed shrimp production increased from 40,000 tons in 1991–1992 to 143,170 tons from a 140,000 ha farming area, and another 42,820 tons of scampi (the giant freshwater prawn, Macrobrachium rosenbergii) from a 4,300 ha area during 2006–2007,",india,asia (not china),country,survey,mid,text 3.2,,prawns,monoculture,crustacean,sw,,,9.95813954,tons/ha/year,ponds?,ponds,9.03,shrimp,85,20.1
Boom and bust in Andhra Pradesh: Development and transformation in India's domestic aquaculture value chain,"Belton, Ben; Padiyar, Arun; Ravibabu, G.; Rao, Gopal K.",AQUACULTURE,2017,10.1016/j.aquaculture.2016.12.019,I took the yearly estimates,india,asia (not china),region,survey,mid,table 3,2008,catfish,monoculture,fish,fw,,,9,t/ha/year,pond,ponds,8.16,catfish,119,15.2
Boom and bust in Andhra Pradesh: Development and transformation in India's domestic aquaculture value chain,"Belton, Ben; Padiyar, Arun; Ravibabu, G.; Rao, Gopal K.",AQUACULTURE,2017,10.1016/j.aquaculture.2016.12.019,I took the yearly estimates,india,asia (not china),region,survey,mid,table 3,2012,carp,monoculture,fish,fw,,,9,t/ha/year,pond,ponds,8.16,oth_carp,127,17.8
Boom and bust in Andhra Pradesh: Development and transformation in India's domestic aquaculture value chain,"Belton, Ben; Padiyar, Arun; Ravibabu, G.; Rao, Gopal K.",AQUACULTURE,2017,10.1016/j.aquaculture.2016.12.019,I took the yearly estimates,india,asia (not china),region,survey,mid,table 3,2012,pacu,monoculture,fish,fw,,,9,t/ha/year,pond,ponds,8.16,,,
Production Methods and Resource Use at Litopenaeus vannamei and Penaeus monodon Farms in India Compared with Previous Findings from Thailand and Vietnam,"Boyd, Claude E.; McNevin, Aaron A.; Davis, Robert P.; Godumala, Ravibabu; Mohan, Avanigadda B. Ch.",JOURNAL OF THE WORLD AQUACULTURE SOCIETY,2018,10.1111/jwas.12524,Shrimp farms in India had average yields (pond surface basis) of 7.86 ± 1.04 (SE) m.t./ha/yr for Litopenaeus vannamei (n = 89) and 3.88 m.t./ha/yr for Penaeus monodon (n = 11).,india,asia (not china),farm,survey,mid,First paragraph under 'Production and Resource Use Efficiency',,Litopenaeus vannamei,monoculture,crustacean,sw,1.4,25,7.86,mt/ha/year,ponds,ponds,7.86,shrimp,85,20.1
The Feasibility of industrial production of Spirulina (Arthrospira) in Southern Spain,"Jimenez, C; Cossio, BR; Labella, D; Niell, FX",AQUACULTURE,2003,10.1016/S0044-8486(02)00118-7,"Extracted monthly because in terms of production cycle, thats comparable to extracting annual",spain,europe,experiment,experiment,high,Fig 6,February,Spirulina,monoculture,algae,fw,2,15,2.1,g/m2/day,PONDS,ponds,7.67,,,
Effects of intensive fish farming on sediments of a temperate bay characterised by polyculture and strong currents,"Ji, Weiwei; Yokoyama, Hisashi; Fu, Jing; Zhou, Jin",AQUACULTURE REPORTS,2021,10.1016/j.aqrep.2020.100579,china,china,asia (not china),region,government data,mid,Table 1,,Saccharina japonica,monoculture,algae,sw,,,842.266463,t/km2/year,Rope,on or off bottom,7.64,,,
Increasing fish farm profitability through aquaculture best management practice training in Egypt,"Dickson, Malcolm; Nasr-Allah, Ahmed; Kenawy, Diaa; Kruijssen, Froukje",AQUACULTURE,2016,10.1016/j.aquaculture.2016.09.015,These are polycultures. 2 modes of production. Fair to include both? this is control,egypt,africa,farm,farm estimates,high,table 5,,tilapia,polyculture,fish,fw,,,8.16,tons/ha/year,ponds,ponds,7.4,tilapia,96,20.1
"Development of integrated, environmentally sound, inland shrimp production technologies for Litopenaeus vannamei","Samocha, TM; Lawrence, AL; Collins, CR; Emberson, CR; Harvin, JL; Van Wyk, PI",NEW WAVE PROCEEDINGS OF THE SPECIAL SESSION ON SUSTAINABLE SHRIMP FARMING,2001,,"seems like it should be really good, but the cycles reported are experimental and very short. I elected to only use table 11 which provided yearly estimates",united states,north america,farm,farm estimates,high,Tabl 11,1999,shrimp,monoculture,crustacean,sw,,,"7,364",kg/ha/year,ponds,ponds,7.36,shrimp,85,20.1
The Feasibility of industrial production of Spirulina (Arthrospira) in Southern Spain,"Jimenez, C; Cossio, BR; Labella, D; Niell, FX",AQUACULTURE,2003,10.1016/S0044-8486(02)00118-7,"Extracted monthly because in terms of production cycle, thats comparable to extracting annual",spain,europe,experiment,experiment,high,Fig 6,January,Spirulina,monoculture,algae,fw,2,15,2,g/m2/day,PONDS,ponds,7.3,,,
Boom and bust in Andhra Pradesh: Development and transformation in India's domestic aquaculture value chain,"Belton, Ben; Padiyar, Arun; Ravibabu, G.; Rao, Gopal K.",AQUACULTURE,2017,10.1016/j.aquaculture.2016.12.019,I took the yearly estimates,india,asia (not china),region,survey,mid,table 3,2007,catfish,monoculture,fish,fw,,,8,t/ha/year,pond,ponds,7.26,catfish,119,15.2
Increasing fish farm profitability through aquaculture best management practice training in Egypt,"Dickson, Malcolm; Nasr-Allah, Ahmed; Kenawy, Diaa; Kruijssen, Froukje",AQUACULTURE,2016,10.1016/j.aquaculture.2016.09.015,These are polycultures. 2 modes of production. Fair to include both? this is bmp,egypt,africa,farm,farm estimates,high,table 5,,tilapia,polyculture,fish,fw,,,8,tons/ha/year,ponds,ponds,7.26,tilapia,96,20.1
Boom and bust in Andhra Pradesh: Development and transformation in India's domestic aquaculture value chain,"Belton, Ben; Padiyar, Arun; Ravibabu, G.; Rao, Gopal K.",AQUACULTURE,2017,10.1016/j.aquaculture.2016.12.019,I took the yearly estimates,india,asia (not china),region,survey,mid,table 3,2011,pacu,monoculture,fish,fw,,,8,t/ha/year,pond,ponds,7.26,,,
"A Review on Shrimp Aquaculture in India: Historical Perspective, Constraints, Status and Future Implications for Impacts on Aquatic Ecosystem and Biodiversity","Salunke, Mahesh; Kalyankar, Amol; Khedkar, Chandraprakash D.; Shingare, Mahesh; Khedkar, Gulab D.",REVIEWS IN FISHERIES SCIENCE & AQUACULTURE,2020,10.1080/23308249.2020.1723058,"There's the ability to digitize and extract data in this paper (Figure 5). During this time the total area occupied by farms engaging in shrimp aquaculture increased dramatically, but over 85% of farms were of small size (< 2 Ha). On these farms the average shrimp production was ∼ 0.73 tons per hectare, representing yields that were low compared to other shrimp producing countries.",india,asia (not china),country,government?,low,Figure 5,"2,015",l. vannamaei,all- ponds,crustacean,sw,,,7.0569,m.t./ ha/ year,all systems,ponds,7.06,shrimp,85,20.1
Economics of Sustainable Intensification of Aquaculture: Evidence from Shrimp Farms in Vietnam and Thailand,"Engle, Carole R.; McNevin, Aaron; Racine, Phoebe; Boyd, Claude E.; Paungkaew, Duangchai; Viriyatum, Rawee; Huynh Quoc Tinh; Hang Ngo Minh",JOURNAL OF THE WORLD AQUACULTURE SOCIETY,2017,10.1111/jwas.12423,survey then cluster analysis then average. corrected for # crops per year,thailand,asia (not china),farm,survey,mid,Table 3,,Litopenaeus vannamei,monoculture,crustacean,sw,,,3483,kg/ha/year,ponds,ponds,6.97,shrimp,85,20.1
"A Review on Shrimp Aquaculture in India: Historical Perspective, Constraints, Status and Future Implications for Impacts on Aquatic Ecosystem and Biodiversity","Salunke, Mahesh; Kalyankar, Amol; Khedkar, Chandraprakash D.; Shingare, Mahesh; Khedkar, Gulab D.",REVIEWS IN FISHERIES SCIENCE & AQUACULTURE,2020,10.1080/23308249.2020.1723058,"There's the ability to digitize and extract data in this paper (Figure 5). During this time the total area occupied by farms engaging in shrimp aquaculture increased dramatically, but over 85% of farms were of small size (< 2 Ha). On these farms the average shrimp production was ∼ 0.73 tons per hectare, representing yields that were low compared to other shrimp producing countries.",india,asia (not china),country,government?,low,Figure 5,"2,016",l. vannamaei,all- ponds,crustacean,sw,,,6.9025,m.t./ ha/ year,all systems,ponds,6.9,shrimp,85,20.1
Boom and bust in Andhra Pradesh: Development and transformation in India's domestic aquaculture value chain,"Belton, Ben; Padiyar, Arun; Ravibabu, G.; Rao, Gopal K.",AQUACULTURE,2017,10.1016/j.aquaculture.2016.12.019,I took the yearly estimates,india,asia (not china),region,survey,mid,table 3,2010,carp,monoculture,fish,fw,,,7.5,t/ha/year,pond,ponds,6.8,oth_carp,127,17.8
Boom and bust in Andhra Pradesh: Development and transformation in India's domestic aquaculture value chain,"Belton, Ben; Padiyar, Arun; Ravibabu, G.; Rao, Gopal K.",AQUACULTURE,2017,10.1016/j.aquaculture.2016.12.019,I took the yearly estimates,india,asia (not china),region,survey,mid,table 3,2010,pacu,monoculture,fish,fw,,,7.5,t/ha/year,pond,ponds,6.8,,,
Resource use in whiteleg shrimp Litopenaeus vannamei farming in Ecuador,"Boyd, Claude E.; Davis, Robert P.; Gonzalez Wilson, Arturo; Marcillo, Fabrizio; Brian, Susanna; McNevin, Aaron A.",JOURNAL OF THE WORLD AQUACULTURE SOCIETY,2021,10.1111/jwas.12818,,ecuador,south america,farm,survey,mid,table 5,,Shrimp,monoculture,crustacean,sw,,,7.39,t/ha/year,ponds,ponds,6.7,shrimp,85,20.1
"A Review on Shrimp Aquaculture in India: Historical Perspective, Constraints, Status and Future Implications for Impacts on Aquatic Ecosystem and Biodiversity","Salunke, Mahesh; Kalyankar, Amol; Khedkar, Chandraprakash D.; Shingare, Mahesh; Khedkar, Gulab D.",REVIEWS IN FISHERIES SCIENCE & AQUACULTURE,2020,10.1080/23308249.2020.1723058,"There's the ability to digitize and extract data in this paper (Figure 5). During this time the total area occupied by farms engaging in shrimp aquaculture increased dramatically, but over 85% of farms were of small size (< 2 Ha). On these farms the average shrimp production was ∼ 0.73 tons per hectare, representing yields that were low compared to other shrimp producing countries.",india,asia (not china),country,government?,low,Figure 5,"2,013",l. vannamaei,all- ponds,crustacean,sw,,,6.5357,m.t./ ha/ year,all systems,ponds,6.54,shrimp,85,20.1
"Effects of different manure levels on fish growth, mortality and yield in a horizontally-integrated fish-cum-poultry farming system in Nigeria","Njoku, DC",AQUACULTURE RESEARCH,1997,,"Results indicate that poultry droppings, applied at the rate of 5000 kg ha−1 per year gave the best yield (23.5 M.t ha−1 for Heterobranchus bidorsalis Geofrey St Hillaire, 1809; and 11.2 tons ha−1 for Oreochromis niloticus Linnaeus, 1758)",nigera,africa,farm,farm,high,Table 6,1995-1996,Oreochromis niloticus ,monoculture,fish,fw,4.3,11.2,6.5,tonne/ha/year,,ponds,6.5,tilapia,96,20.1
Boom and bust in Andhra Pradesh: Development and transformation in India's domestic aquaculture value chain,"Belton, Ben; Padiyar, Arun; Ravibabu, G.; Rao, Gopal K.",AQUACULTURE,2017,10.1016/j.aquaculture.2016.12.019,I took the yearly estimates,india,asia (not china),region,survey,mid,table 3,2006,catfish,monoculture,fish,fw,,,7,t/ha/year,pond,ponds,6.35,catfish,119,15.2
Environmental assessment of channel catfish Ictalurus punctatus farming in Alabama,"Boyd, CE; Queiroz, J; Lee, J; Rowan, M; Whitis, GN; Gross, A",JOURNAL OF THE WORLD AQUACULTURE SOCIETY,2000,,"here are about 10,000 ha of production ponds with 10.7% of the area for fry and fingerlings and 89.3% for food fish. Food fish production was about 40,800 tons in 1997.Food fish production for farms in the survey averaged 6,300 kgha per yr (SD =
1,460 kgha) with a range of 2,240 to 8,400
kgha per yr.",united states,north america,farm,survey,mid,page 522,,Catfish,monoculture,fish,fw,2240,8400,6300,kg/ha/year,ponds,ponds,6.3,catfish,119,15.2
Coastal aquaculture and shrimp farming in North Vietnam and environmental cost estimation,"Lan, Tran Dinh",AQUATIC ECOSYSTEM HEALTH & MANAGEMENT,2009,10.1080/14634980903146791,Figures 2 and 3 have no units and are thus not useful. Data comes from Table 2.,vietnam,asia (not china),region,"government report (: Hai Phong Fisheries Department, 2001; MOFI, 2003.)",mid,table 2,2000,shrimp,monoculture,crustacean,sw,,,6.82576867,tons/ha/year,ponds,ponds,6.19,shrimp,85,20.1
Resource use in whiteleg shrimp Litopenaeus vannamei farming in Ecuador,"Boyd, Claude E.; Davis, Robert P.; Gonzalez Wilson, Arturo; Marcillo, Fabrizio; Brian, Susanna; McNevin, Aaron A.",JOURNAL OF THE WORLD AQUACULTURE SOCIETY,2021,10.1111/jwas.12818,,ecuador,south america,farm,survey,mid,table 5,,Shrimp,monoculture,crustacean,sw,,,6.75,t/ha/year,ponds,ponds,6.12,shrimp,85,20.1
